PerfScoreID,Age,0.167831232
1,33,
1,34,
1,35,
1,37,
1,40,
1,42,
1,47,
1,48,
1,54,
1,55,
1,58,
2,32,
2,33,
2,34,
2,35,
2,36,
2,38,
2,39,
2,42,
2,43,
2,44,
2,46,
2,47,
2,48,
2,54,
3,30,
3,31,
3,32,
3,33,
3,34,
3,35,
3,36,
3,37,
3,38,
3,39,
3,40,
3,41,
3,42,
3,43,
3,44,
3,45,
3,46,
3,47,
3,48,
3,49,
3,50,
3,51,
3,52,
3,53,
3,54,
3,55,
3,56,
3,57,
3,58,
3,59,
3,61,
3,64,
3,67,
3,68,
3,69,
3,70,
3,71,
3,72,
4,33,
4,34,
4,36,
4,38,
4,39,
4,40,
4,41,
4,42,
4,43,
4,44,
4,45,
4,46,
4,48,
4,49,
4,50,
4,52,
4,53,
4,55,
4,56,
4,59,
4,63,
4,64,
